"id","tipo","dias"
"1503960366","debajo",8
"1503960366","encima",22
"1624580081","debajo",2
"1624580081","encima",29
"1644430081","debajo",23
"1644430081","encima",7
"1844505072","debajo",4
"1844505072","encima",27
"1927972279","debajo",18
"1927972279","encima",13
"2022484408","debajo",21
"2022484408","encima",10
"2026352035","debajo",2
"2026352035","encima",29
"2320127002","debajo",7
"2320127002","encima",24
"2347167796","debajo",6
"2347167796","encima",12
"2873212765","debajo",11
"2873212765","encima",20
"3372868164","debajo",8
"3372868164","encima",12
"3977333714","debajo",2
"3977333714","encima",27
"4020332650","debajo",17
"4020332650","encima",14
"4057192912","debajo",0
"4057192912","encima",4
"4319703577","debajo",11
"4319703577","encima",20
"4388161847","debajo",26
"4388161847","encima",5
"4445114986","debajo",15
"4445114986","encima",16
"4558609924","debajo",10
"4558609924","encima",21
"4702921684","debajo",24
"4702921684","encima",7
"5553957443","debajo",11
"5553957443","encima",20
"5577150313","debajo",27
"5577150313","encima",3
"6117666160","debajo",13
"6117666160","encima",15
"6290855005","debajo",20
"6290855005","encima",8
"6775888955","debajo",9
"6775888955","encima",17
"6962181067","debajo",11
"6962181067","encima",20
"7007744171","debajo",18
"7007744171","encima",8
"7086361926","debajo",18
"7086361926","encima",13
"8053475328","debajo",23
"8053475328","encima",8
"8253242879","debajo",3
"8253242879","encima",15
"8378563200","debajo",27
"8378563200","encima",4
"8583815059","debajo",24
"8583815059","encima",6
"8792009665","debajo",8
"8792009665","encima",20
"8877689391","debajo",29
"8877689391","encima",2
